Subject,Title,Credits,Schedule,Instructor,Days,Time,Term
COMP 2406 B,Fundamentals Web Applications,0.5,Lecture,LD Nel, Mon Wed , 18:05 - 19:25 ,winter2024
COMP 2406 B1,Fundamentals Web Applications,0,Tutorial,LD Nel, Thu , 08:35 - 09:55 ,winter2024
COMP 2406 B2,Fundamentals Web Applications,0,Tutorial,LD Nel, Fri , 14:35 - 15:55 ,winter2024
COMP 2406 B3,Fundamentals Web Applications,0,Tutorial,LD Nel, Fri , 08:35 - 09:55 ,winter2024
COMP 2501 A,Compter Game Design & Develop,0.5,Lecture,Oliver van Kaick, Mon Wed , 14:35 - 15:55 ,winter2024
COMP 2501 A1,Compter Game Design & Develop,0,Tutorial,Oliver van Kaick, Thu , 10:05 - 11:25 ,winter2024
COMP 2501 A2,Compter Game Design & Develop,0,Tutorial,Oliver van Kaick, Mon , 11:35 - 12:55 ,winter2024
COMP 2501 A3,Compter Game Design & Develop,0,Tutorial,Oliver van Kaick, Tue , 10:05 - 11:25 ,winter2024
COMP 2501 A4,Compter Game Design & Develop,0,Tutorial,Oliver van Kaick, Mon , 10:05 - 11:25 ,winter2024
COMP 2804 A,Discrete Structures II,0.5,Lecture,Darryl Hill, Tue Thu , 08:35 - 09:55 ,winter2024
COMP 2804 B,Discrete Structures II,0.5,Lecture,Darryl Hill, Wed Fri , 16:05 - 17:25 ,winter2024
COMP 3000 A,Operating Systems,0.5,Lecture,Lianying Zhao, Mon Wed , 10:05 - 11:25 ,winter2024
COMP 3000 A1,Operating Systems,0,Tutorial,Lianying Zhao, Thu , 11:35 - 12:55 ,winter2024
COMP 3000 A2,Operating Systems,0,Tutorial,Lianying Zhao, Thu , 16:05 - 17:25 ,winter2024
COMP 3000 A3,Operating Systems,0,Tutorial,Lianying Zhao, Thu , 10:05 - 11:25 ,winter2024
COMP 3000 B,Operating Systems,0.5,Lecture,Lianying Zhao, Tue Thu , 19:35 - 20:55 ,winter2024
COMP 3000 B1,Operating Systems,0,Tutorial,Lianying Zhao, Fri , 11:35 - 12:55 ,winter2024
COMP 3000 B2,Operating Systems,0,Tutorial,Lianying Zhao, Fri , 08:35 - 09:55 ,winter2024
COMP 3000 B3,Operating Systems,0,Tutorial,Lianying Zhao, Fri , 10:05 - 11:25 ,winter2024
COMP 3002 A,Compiler Construction,0.5,Lecture,Wilf Lalonde, Thu , 18:05 - 20:55 ,winter2024
COMP 3004 A,Object-Oriented Software Engin,0.5,Lecture,Connor Hillen, Tue Thu , 14:35 - 15:55 ,winter2024
COMP 3004 B,Object-Oriented Software Engin,0.5,Lecture,Connor Hillen, Wed Fri , 14:35 - 15:55 ,winter2024
COMP 3005 A,Database Management Systems,0.5,Lecture,Ahmed El-Roby, Mon Wed , 11:35 - 12:55 ,winter2024
COMP 3005 B,Database Management Systems,0.5,Lecture,Ahmed El-Roby, Mon Wed , 16:05 - 17:25 ,winter2024
COMP 3007 A,Programming Paradigms,0.5,Lecture,Robert Collier, Tue Thu , 08:35 - 09:55 ,winter2024
