Subject,Title,Credits,Schedule,Instructor,Days,Time,Term
COMP 2401 C1,Intro to Systems Programming,0,Tutorial,Christine Laurendeau, Tue , 14:35 - 15:55 ,fall2023
COMP 2401 C2,Intro to Systems Programming,0,Tutorial,Christine Laurendeau, Wed , 16:05 - 17:25 ,fall2023
COMP 2401 D,Intro to Systems Programming,0.5,Lecture,Connor Hillen, Tue Thu , 08:35 - 09:55 ,fall2023
COMP 2401 D1,Intro to Systems Programming,0,Tutorial,Connor Hillen, Mon , 13:05 - 14:25 ,fall2023
COMP 2401 D2,Intro to Systems Programming,0,Tutorial,Connor Hillen, Fri , 08:35 - 09:55 ,fall2023
COMP 2402 A,Abstract Data Types & Algorithms,0.5,Lecture,Alina Shaikhet, Tue Thu , 11:35 - 12:55 ,fall2023
COMP 2402 B,Abstract Data Types & Algorithms,0.5,Lecture,Alina Shaikhet, Mon Wed , 10:05 - 11:25 ,fall2023
COMP 2404 A,Intro to Software Engineering,0.5,Lecture,Darryl Hill, Mon Wed , 14:35 - 15:55 ,fall2023
COMP 2404 A1,Intro to Software Engineering,0,Tutorial,Darryl Hill, Thu , 11:35 - 12:55 ,fall2023
COMP 2404 A2,Intro to Software Engineering,0,Tutorial,Darryl Hill, Wed , 08:35 - 09:55 ,fall2023
COMP 2404 B,Intro to Software Engineering,0.5,Lecture,Darryl Hill, Mon Wed , 18:05 - 19:25 ,fall2023
COMP 2404 B1,Intro to Software Engineering,0,Tutorial,Darryl Hill, Thu , 16:05 - 17:25 ,fall2023
COMP 2404 B2,Intro to Software Engineering,0,Tutorial,Darryl Hill, Mon , 16:05 - 17:25 ,fall2023
COMP 2406 A,Fundamentals Web Applications,0.5,Lecture,LD Nel, Tue Thu , 16:05 - 17:25 ,fall2023
COMP 2406 A1,Fundamentals Web Applications,0,Tutorial,LD Nel, Wed , 13:05 - 14:25 ,fall2023
COMP 2406 A2,Fundamentals Web Applications,0,Tutorial,LD Nel, Fri , 11:35 - 12:55 ,fall2023
COMP 2406 A3,Fundamentals Web Applications,0,Tutorial,LD Nel, Fri , 08:35 - 09:55 ,fall2023
COMP 2406 A4,Fundamentals Web Applications,0,Tutorial,LD Nel, Fri , 10:05 - 11:25 ,fall2023
COMP 2406 B,Fundamentals Web Applications,0.5,Lecture,Alina Shaikhet, Tue Thu , 18:05 - 19:25 ,fall2023
COMP 2406 B1,Fundamentals Web Applications,0,Tutorial,Alina Shaikhet, Thu , 14:35 - 15:55 ,fall2023
